PROVINCIA,Agrupamiento,Varon,Mujer,Ratio,N_v,N_m,N_pob_v,N_pob_m,N_pob_tot
Santiago del Estero,Otras,2.297650743545122,1.8407716849317919,80.11538264042706,30.0,15.0,3921.3130077319292,2030.3785998032706,5951.6916075352
Santiago del Estero,Produccion,42.245548050960416,12.215601838981753,28.915713968833316,503.0,93.0,72098.8677484534,13473.85814363233,85572.72589208573
Santiago del Estero,Servicio domestico,0.19688570761425025,20.59722534992211,10461.51373784702,3.0,178.0,336.01733791491847,22718.822713397443,23054.840051312363
Santiago del Estero,Servicios,9.751913600533623,7.461430677510898,76.5124772752561,115.0,62.0,16643.21949690586,8229.988159609864,24873.207656515722
TdF,Adm publica,18.738010250544594,18.509227477819735,98.7790444680848,77.0,54.0,8087.923550557154,5266.409752558495,13354.333303115649
TdF,Comercio,18.008189153032273,16.18012562061756,89.84870984594863,71.0,49.0,7772.909460835871,4603.713011153678,12376.622471989549
TdF,Enseñanza,6.154080516857271,23.1240560496831,375.7516006874079,29.0,69.0,2656.297658011382,6579.46175466775,9235.759412679132
TdF,Otras,3.431477717313189,1.4232115740312707,41.47518041136023,14.0,3.0,1481.1353538598275,404.94479428783256,1886.08014814766
TdF,Produccion,36.792500236266804,12.453990562320346,33.84926406834483,167.0,43.0,15880.817929221343,3543.5199785767145,19424.337907798057
TdF,Servicio domestico,0.21093100217114713,7.5930287277291715,3599.768952677838,1.0,22.0,91.04455580885706,2160.4359550439785,2251.480510852836
TdF,Servicios,7.925566391225754,14.695608334462154,185.42029186370058,30.0,43.0,3420.92752698948,4181.324971295225,7602.252498284704
Tucumán,Adm publica,10.431902172107058,8.402348961991752,80.54474460523653,152.0,87.0,33387.80184744482,18853.20016729675,52241.00201474156
Tucumán,Comercio,26.242344146068962,25.129888427250997,95.76083709356959,374.0,283.0,83989.87757996129,56386.47226435704,140376.34984431835
Tucumán,Enseñanza,5.992855505578977,22.516107647873643,375.7158440898924,85.0,252.0,19180.420676838592,50521.66797570573,69702.08865254432
Tucumán,Otras,2.0133845139612467,2.801989861891773,139.16814411068353,29.0,25.0,6443.933434747151,6287.10804228005,12731.0414770272
Tucumán,Produccion,40.805825839335164,10.116008140512129,24.79059774538543,656.0,118.0,130600.99729346696,22698.310583124025,153299.307876591
Tucumán,Servicio domestico,0.606484136967365,18.39327958240355,3032.7717513563416,9.0,209.0,1941.0814877872835,41270.86166841435,43211.94315620163
Tucumán,Servicios,13.053504740635693,12.18503381410731,93.3468371614803,188.0,141.0,41778.36625618937,27340.792745197814,69119.15900138719
